20190422 82749 10,2161101 56,1586318 8436,800 -2 -1 3
20190422 82751 10,2161119 56,1586299 8358,100 -1 1 3
20190422 82751 10,2161133 56,1586281 8284,900 -1 -1 3
20190422 82753 10,2161146 56,1586265 8213,200 -2 0 3
20190422 82754 10,2161151 56,1586245 8151,800 -2 1 2
20190422 82755 10,2161146 56,1586226 8105,600 0 1 1
20190422 82755 10,2161144 56,1586208 8078,200 3 -5 0
20190422 82757 10,2161127 56,1586191 8042,600 -4 0 -1
20190422 82757 10,2161122 56,1586184 8010,600 3 -1 1
20190422 82759 10,2161113 56,1586172 7985,000 -1 -1 2
20190422 82800 10,2161100 56,1586159 7964,900 1 0 2
20190422 82801 10,2161085 56,1586144 7946,600 1 1 2
20190422 82801 10,2161081 56,1586134 7929,800 -2 0 1
